,TITLE,COMPANY,SUMMARY
0,"ICG Placement Software Engineer Intern, Dublin (Europe, Midd...",Citi,You're the brains behind our work. Citi’s Institutional Clients Group (ICG) is looking for aspiring Software Engineer’s to join its Technology teams in Dublin…
1,Software Engineer Intern,Shutterstock,"Solid software development fundamentals (Data Structures, algorithms, problem-solving, OO Design, and system architecture)."
2,Intern Software Engineer - Dublin,Liberty IT,Communicate and collaborate with your team and customers to have exposure to the entire software development lifecycle.Evidence of good 2nd year grades.
3,Software Development Engineer Internship – 2022 Dublin,Amazon DS Ireland Limited,"Currently enrolled in a Bachelor’s or Master’s Degree in Computer Science, Computer Engineering, or related fields at time of application."
4,new,Amazon DS Ireland Limited,Currently enrolled in a Bachelor’s or Master’s Degree in Math/Statistics/Engineering or other equivalent quantitative discipline.
5,new,Amazon DS Ireland Limited,"InfoSec is focused on privacy, compliance and governance, and security across multiple domains including application, partner, offensive security, defensive…"
6,Software Engineer Intern – Web Developer (6 Months),Johnson Controls,"Documenting and testing new software applications.Understanding of software development life cycle, including Agile/Scrum methodologies."
7,AWS Cloud Engineer - Intern,Shutterstock,"The role’s primary focus is to Build & Support Shutterstock’s AWS infrastructure, Kubernetes platform, and CI/CD pipeline.Some nice to have skills:"
8,Infrastructure - IT Intern,Susquehanna International Group,"This area is responsible for researching, designing and implementing the full trading capability for the European office, using leading edge hardware and…"
9,new,Amazon DS Ireland Limited,Amazon interns have the opportunity to work alongside the industry’s brightest engineers who innovate everyday on behalf of our customers.
10,RME Project Management Intern,Amazon EU SARL,"Solid understanding of principals, theories and concepts in mechanical, electrical, or software engineering.You are currently working towards a Bachelor degree…"
11,new,Johnson Controls,Documenting and testing new software applications.Collaborate with other engineers to maintain high standards and foster a culture of continuous learning.
12,new,Amazon EU SARL,Amazon interns have the opportunity to work alongside the industry’s brightest engineers who innovate everyday on behalf of our customers.
13,R&D Engineer II,BD,"Proficient in statistic software is a plus.May lead or manage technicians or engineering interns.Primary focus of this position is to support in developing,…"
14,Technical Project Management Intern,Amazon EU SARL,"Interact with software engineering, hardware engineering, and other key stakeholders to define and deliver programs."
